LOVID,LOVName,value
Eco_LOV_1572,Valve Seat Material,Carbon/Glass Reinforced PTFE Durafill<REG/>
Eco_LOV_1572,Valve Seat Material,Alloy 20
Eco_LOV_1572,Valve Seat Material,PRFE glass-reinforced
Eco_LOV_1572,Valve Seat Material,TPV
Eco_LOV_1572,Valve Seat Material,RTFM
Eco_LOV_1572,Valve Seat Material,CR
Eco_LOV_1572,Valve Seat Material,Silicone
Eco_LOV_1572,Valve Seat Material,Galvanized Steel
Eco_LOV_1572,Valve Seat Material,PTFE Teflon<TRADEM/>
Eco_LOV_1572,Valve Seat Material,Hostaflon<REG/> TFM 1
Eco_LOV_1572,Valve Seat Material,Hostaflon<REG/> TFM
Eco_LOV_1572,Valve Seat Material,Barrier Filled PTFE
Eco_LOV_1572,Valve Seat Material,Hyperseat<TRADEM/>
Eco_LOV_1572,Valve Seat Material,Xtreme
Eco_LOV_1572,Valve Seat Material,Stellite
Eco_LOV_1572,Valve Seat Material,Nitrile
Eco_LOV_1572,Valve Seat Material,Viton<REG/>
Eco_LOV_1572,Valve Seat Material,Impregnated Teflon<REG/>
Eco_LOV_1572,Valve Seat Material,Solid Wedge
Eco_LOV_1572,Valve Seat Material,NiCu
Eco_LOV_1572,Valve Seat Material,Hypalon
Eco_LOV_1572,Valve Seat Material,EDPM
Eco_LOV_1572,Valve Seat Material,Aluminum
Eco_LOV_1572,Valve Seat Material,PVDF
Eco_LOV_1572,Valve Seat Material,Replaceable Engineered Polymer
Eco_LOV_1572,Valve Seat Material,13% Cr Renewable
Eco_LOV_1572,Valve Seat Material,410 Stainless Steel
Eco_LOV_1572,Valve Seat Material,Lubetal<TRADEM/>
Eco_LOV_1572,Valve Seat Material,PVC
Eco_LOV_1572,Valve Seat Material,Non-Metallic
Eco_LOV_1572,Valve Seat Material,TPR
Eco_LOV_1572,Valve Seat Material,Silicon Brass
Eco_LOV_1572,Valve Seat Material,Hardened Steel
Eco_LOV_1572,Valve Seat Material,Metal
Eco_LOV_1572,Valve Seat Material,Polyethylene
Eco_LOV_1572,Valve Seat Material,Cr-13
Eco_LOV_1572,Valve Seat Material,Fluorocarbon
Eco_LOV_1572,Valve Seat Material,T Nitrile
Eco_LOV_1572,Valve Seat Material,Polyimide
Eco_LOV_1572,Valve Seat Material,Engineered Plastic
Eco_LOV_1572,Valve Seat Material,Delrin<REG/>
Eco_LOV_1572,Valve Seat Material,Cast Copper
Eco_LOV_1572,Valve Seat Material,316 HF
Eco_LOV_1572,Valve Seat Material,Thermoplastic
Eco_LOV_1572,Valve Seat Material,Inconel
Eco_LOV_1572,Valve Seat Material,PPO
Eco_LOV_1572,Valve Seat Material,Kalrez<REG/>
Eco_LOV_1572,Valve Seat Material,Multi-Fill PTFE
Eco_LOV_1572,Valve Seat Material,MTFE
Eco_LOV_1572,Valve Seat Material,303 Stainless Steel
Eco_LOV_1572,Valve Seat Material,Stainless Steel
Eco_LOV_1572,Valve Seat Material,Teflon
Eco_LOV_1572,Valve Seat Material,TFE
Eco_LOV_1572,Valve Seat Material,Aluminum Bronze
Eco_LOV_1572,Valve Seat Material,Steam Service PTFE
Eco_LOV_1572,Valve Seat Material,Nitrile Butadiene Rubber
Eco_LOV_1572,Valve Seat Material,PTTE
Eco_LOV_1572,Valve Seat Material,T3 Nitrile
Eco_LOV_1572,Valve Seat Material,TFM 1700
Eco_LOV_1572,Valve Seat Material,316
Eco_LOV_1572,Valve Seat Material,Monel<REG/> 400
Eco_LOV_1572,Valve Seat Material,15% Glass RTFE
Eco_LOV_1572,Valve Seat Material,Chloramine-Resistant EPDM
Eco_LOV_1572,Valve Seat Material,13% Cr HF
Eco_LOV_1572,Valve Seat Material,Inconel<REG/>
Eco_LOV_1572,Valve Seat Material,HDPE
Eco_LOV_1572,Valve Seat Material,TFM
Eco_LOV_1572,Valve Seat Material,RFFE
Eco_LOV_1572,Valve Seat Material,Electroless Nickel Plated
Eco_LOV_1572,Valve Seat Material,Carbon Filled PTFE
Eco_LOV_1572,Valve Seat Material,Silicone Rubber
Eco_LOV_1572,Valve Seat Material,Graphite Reinforced PTFE
Eco_LOV_1572,Valve Seat Material,Acetal
Eco_LOV_1572,Valve Seat Material,TFM-PTFE<REG/>
Eco_LOV_1572,Valve Seat Material,Ductile Iron
Eco_LOV_1572,Valve Seat Material,316 Stainless Steel
Eco_LOV_1572,Valve Seat Material,Polymer
Eco_LOV_1572,Valve Seat Material,PTFE
Eco_LOV_1572,Valve Seat Material,PRFE Glass-Reinforced
Eco_LOV_1572,Valve Seat Material,Devlon<REG/>
Eco_LOV_1572,Valve Seat Material,Monel
Eco_LOV_1572,Valve Seat Material,Copper Alloy
Eco_LOV_1572,Valve Seat Material,Brass
Eco_LOV_1572,Valve Seat Material,Copper
Eco_LOV_1572,Valve Seat Material,Aflas
Eco_LOV_1572,Valve Seat Material,EPDM Rubber
Eco_LOV_1572,Valve Seat Material,NXT
Eco_LOV_1572,Valve Seat Material,Tek-Fil<REG/>
Eco_LOV_1572,Valve Seat Material,Stainless Steel Alloy
Eco_LOV_1572,Valve Seat Material,Alloy Steel
Eco_LOV_1572,Valve Seat Material,Hypatite<REG/> PTFE
Eco_LOV_1572,Valve Seat Material,Resilient Wedge
Eco_LOV_1572,Valve Seat Material,Reinforced RPTFE
Eco_LOV_1572,Valve Seat Material,CTFE
Eco_LOV_1572,Valve Seat Material,Wire Reinforced
Eco_LOV_1572,Valve Seat Material,Dupont Teflon
Eco_LOV_1572,Valve Seat Material,A105
Eco_LOV_1572,Valve Seat Material,Celcon<REG/>
Eco_LOV_1572,Valve Seat Material,Noryl
Eco_LOV_1572,Valve Seat Material,Hostaflon TFM
Eco_LOV_1572,Valve Seat Material,Stellite 6
Eco_LOV_1572,Valve Seat Material,Cu-Ni
Eco_LOV_1572,Valve Seat Material,Viton
Eco_LOV_1572,Valve Seat Material,PRFE
Eco_LOV_1572,Valve Seat Material,Corrosion Resistant
Eco_LOV_1572,Valve Seat Material,Nickel Alloy
Eco_LOV_1572,Valve Seat Material,Hypalon<REG/>
Eco_LOV_1572,Valve Seat Material,Hostaflon<REG/> TFM 1600
Eco_LOV_1572,Valve Seat Material,UHMWP
Eco_LOV_1572,Valve Seat Material,Devlon
Eco_LOV_1572,Valve Seat Material,MPTFE
Eco_LOV_1572,Valve Seat Material,Teflon<TRADEM/>
Eco_LOV_1572,Valve Seat Material,RPTFE 15% Glass Filled
Eco_LOV_1572,Valve Seat Material,Elastomer
Eco_LOV_1572,Valve Seat Material,Nickel Plated
Eco_LOV_1572,Valve Seat Material,Welded Nickel
Eco_LOV_1572,Valve Seat Material,Buna-N
Eco_LOV_1572,Valve Seat Material,304 Stainless Steel
Eco_LOV_1572,Valve Seat Material,EPDM Elastomer
Eco_LOV_1572,Valve Seat Material,PCTFE
Eco_LOV_1572,Valve Seat Material,Buna
Eco_LOV_1572,Valve Seat Material,EPMD
Eco_LOV_1572,Valve Seat Material,Teflon<TRADEM/> RPTFE
Eco_LOV_1572,Valve Seat Material,EPR
Eco_LOV_1572,Valve Seat Material,Chloramine-resistant Silicone
Eco_LOV_1572,Valve Seat Material,Fluorocarbon Rubber
Eco_LOV_1572,Valve Seat Material,15% Glass Filled RPTFE
Eco_LOV_1572,Valve Seat Material,Teflon PTFE
Eco_LOV_1572,Valve Seat Material,DTFE
Eco_LOV_1572,Valve Seat Material,Ceramic
Eco_LOV_1572,Valve Seat Material,Integral HF
Eco_LOV_1572,Valve Seat Material,VTFE
Eco_LOV_1572,Valve Seat Material,EPDM
Eco_LOV_1572,Valve Seat Material,Nickel Plated Iron
Eco_LOV_1572,Valve Seat Material,TFE Virgin Teflon
Eco_LOV_1572,Valve Seat Material,Poly-Ether–Sulfone
Eco_LOV_1572,Valve Seat Material,UHMWPE
Eco_LOV_1572,Valve Seat Material,Ductile iron
Eco_LOV_1572,Valve Seat Material,FKM
Eco_LOV_1572,Valve Seat Material,Tufline-475
Eco_LOV_1572,Valve Seat Material,Cast Iron
Eco_LOV_1572,Valve Seat Material,CF8M
Eco_LOV_1572,Valve Seat Material,Rubber
Eco_LOV_1571,Valve Port Opening,Lift-N-Lock
Eco_LOV_1571,Valve Port Opening,PT Port
Eco_LOV_1571,Valve Port Opening,L-Port
Eco_LOV_1571,Valve Port Opening,Dual Port
Eco_LOV_1571,Valve Port Opening,Rectangular Port
Eco_LOV_1571,Valve Port Opening,V-Port
Eco_LOV_1571,Valve Port Opening,True Port
Eco_LOV_1571,Valve Port Opening,Full Port
Eco_LOV_1571,Valve Port Opening,Standard Port
Eco_LOV_1571,Valve Port Opening,Fixed Port
Eco_LOV_1571,Valve Port Opening,Purge Port
Eco_LOV_1571,Valve Port Opening,Reduced Port
Eco_LOV_1571,Valve Port Opening,Large Port
Eco_LOV_1571,Valve Port Opening,Drain Port
Eco_LOV_1571,Valve Port Opening,Round Port
Eco_LOV_1571,Valve Port Opening,Valve Stem
Eco_LOV_1571,Valve Port Opening,T-Port
Eco_LOV_1570,Valve Operator,Quarter Turn Handle
Eco_LOV_1570,Valve Operator,Pilot Operated
Eco_LOV_1570,Valve Operator,Insulating Handle
Eco_LOV_1570,Valve Operator,Oval Knurled
Eco_LOV_1570,Valve Operator,Wrench
Eco_LOV_1570,Valve Operator,10 Position Handle
Eco_LOV_1570,Valve Operator,Trigger Handle
Eco_LOV_1570,Valve Operator,Double Stop Handle
Eco_LOV_1570,Valve Operator,Automatic
Eco_LOV_1570,Valve Operator,Synchronous Hysteresis
Eco_LOV_1570,Valve Operator,Vertical Chain Lever
Eco_LOV_1570,Valve Operator,Cylinder Actuator
Eco_LOV_1570,Valve Operator,Dual Handle
Eco_LOV_1570,Valve Operator,Hand
Eco_LOV_1570,Valve Operator,Extended Lever Handle
Eco_LOV_1570,Valve Operator,Extension Handle with Memory Stop
Eco_LOV_1570,Valve Operator,Cross Handle
Eco_LOV_1570,Valve Operator,Loose Key
Eco_LOV_1570,Valve Operator,Handwheel Handle
Eco_LOV_1570,Valve Operator,Cross
Eco_LOV_1570,Valve Operator,Automatic|Adjustable Spring Over Diaphragm
Eco_LOV_1570,Valve Operator,Latch Locking Handle
Eco_LOV_1570,Valve Operator,Handwheel
Eco_LOV_1570,Valve Operator,Latch Locking Lever Handle
Eco_LOV_1570,Valve Operator,Infinite Position with Memory Stop
Eco_LOV_1570,Valve Operator,Locking Lever
Eco_LOV_1570,Valve Operator,Square Operating Nut
Eco_LOV_1570,Valve Operator,Standard Ball
Eco_LOV_1570,Valve Operator,Manual Operator
Eco_LOV_1570,Valve Operator,Long Tee Key
Eco_LOV_1570,Valve Operator,Straight Lever Handle
Eco_LOV_1570,Valve Operator,Multi Turn
Eco_LOV_1570,Valve Operator,Curb Handle
Eco_LOV_1570,Valve Operator,Direct Operated
Eco_LOV_1570,Valve Operator,Gear Operator with Memory Stop and Chain Wheel
Eco_LOV_1570,Valve Operator,Lever|Round|Slo-Ball|T handle
Eco_LOV_1570,Valve Operator,Worm Gear
Eco_LOV_1570,Valve Operator,Loose Tee Key
Eco_LOV_1570,Valve Operator,Bevel Gear
Eco_LOV_1570,Valve Operator,Locking Spring Oval Handle
Eco_LOV_1570,Valve Operator,Locking Latch Lever Handle
Eco_LOV_1570,Valve Operator,Metered
Eco_LOV_1570,Valve Operator,Bar Handle
Eco_LOV_1570,Valve Operator,Latch-Lok Handle
Eco_LOV_1570,Valve Operator,Loose Key Wheel
Eco_LOV_1570,Valve Operator,Standard Ball Lever Handle
Eco_LOV_1570,Valve Operator,Spring Actuated
Eco_LOV_1570,Valve Operator,Quarter Turn
Eco_LOV_1570,Valve Operator,Insulated Handle with Memory Stop
Eco_LOV_1570,Valve Operator,Reversible Handle
Eco_LOV_1570,Valve Operator,4:1 Bevel Gear
Eco_LOV_1570,Valve Operator,Electronic
Eco_LOV_1570,Valve Operator,Therma-Seal<TRADEM/> Insulating Tee Handle
Eco_LOV_1570,Valve Operator,Short-Locking Lever Handle
Eco_LOV_1570,Valve Operator,Locking Wheel Handle
Eco_LOV_1570,Valve Operator,Oval
Eco_LOV_1570,Valve Operator,Lockout Handle
Eco_LOV_1570,Valve Operator,Latch Lock Lever Handle
Eco_LOV_1570,Valve Operator,Bare Stem
Eco_LOV_1570,Valve Operator,Gear Operator with Switch
Eco_LOV_1570,Valve Operator,Spring
Eco_LOV_1570,Valve Operator,Cylinder
Eco_LOV_1570,Valve Operator,Extension Stem
Eco_LOV_1570,Valve Operator,Spring Return Handle
Eco_LOV_1570,Valve Operator,Locking Tee Handle
Eco_LOV_1570,Valve Operator,Lever
Eco_LOV_1570,Valve Operator,Locking Lever Round Handle
Eco_LOV_1570,Valve Operator,Gear
Eco_LOV_1570,Valve Operator,Float
Eco_LOV_1570,Valve Operator,None
Eco_LOV_1570,Valve Operator,T-handle
Eco_LOV_1570,Valve Operator,10 Position Handle with Memory Stop
Eco_LOV_1570,Valve Operator,Memory Stop
Eco_LOV_1570,Valve Operator,Gear Operator
Eco_LOV_1570,Valve Operator,Wheel
Eco_LOV_1570,Valve Operator,Handle
Eco_LOV_1570,Valve Operator,Gear with Locking Device
Eco_LOV_1570,Valve Operator,Standard Wheel Handle
Eco_LOV_1570,Valve Operator,Latch Lock Handle
Eco_LOV_1570,Valve Operator,T-Handle
Eco_LOV_1570,Valve Operator,Gear Operator W/Handwheel
Eco_LOV_1570,Valve Operator,Locking Oval Handle
Eco_LOV_1570,Valve Operator,Turn
Eco_LOV_1570,Valve Operator,Less Operator
Eco_LOV_1570,Valve Operator,Latch Lock Oval Handle
Eco_LOV_1570,Valve Operator,Foot Treadle;Flag Handle
Eco_LOV_1570,Valve Operator,Wheel Handle
Eco_LOV_1570,Valve Operator,Pneumatic Cylinder
Eco_LOV_1570,Valve Operator,Locking Extension Handle
Eco_LOV_1570,Valve Operator,Screwdriver Slot
Eco_LOV_1570,Valve Operator,Locking Lever Handle
Eco_LOV_1570,Valve Operator,Pad Lockable Stem
Eco_LOV_1570,Valve Operator,Pneumatic Air to Air
Eco_LOV_1570,Valve Operator,Positive Shut off
Eco_LOV_1570,Valve Operator,Actuator
Eco_LOV_1570,Valve Operator,Therma-Seal<TRADEM/> Insulating Tee
Eco_LOV_1570,Valve Operator,Insulated NIB-SEAL<REG/> Handle
Eco_LOV_1570,Valve Operator,Knob Handle
Eco_LOV_1570,Valve Operator,Butterfly Handle
Eco_LOV_1570,Valve Operator,Locking Lever with Tamper Resistant Device
Eco_LOV_1570,Valve Operator,10 Position Locking Lever Handle
Eco_LOV_1570,Valve Operator,Quarter Turn Tee Handle
Eco_LOV_1570,Valve Operator,Lockwing Handle
Eco_LOV_1570,Valve Operator,Spring Handle
Eco_LOV_1570,Valve Operator,Oval Handle
Eco_LOV_1570,Valve Operator,Round
Eco_LOV_1570,Valve Operator,Slot Screw
Eco_LOV_1570,Valve Operator,Gear Operator with Chain Wheel
Eco_LOV_1570,Valve Operator,Gear Operator with Lockout
Eco_LOV_1570,Valve Operator,3:1 Bevel Gear
Eco_LOV_1570,Valve Operator,Extended Locking Handle
Eco_LOV_1570,Valve Operator,Actuator Ready
Eco_LOV_1570,Valve Operator,Pneumatic Spring Return
Eco_LOV_1570,Valve Operator,Screw Handle
Eco_LOV_1570,Valve Operator,Hi-Rise Locking Wheel Handle
Eco_LOV_1570,Valve Operator,Multi-Turn Handle
Eco_LOV_1570,Valve Operator,Lockable Metal Handle
Eco_LOV_1570,Valve Operator,2 in Square Nut
Eco_LOV_1570,Valve Operator,Lever Handle;Gear Operator
Eco_LOV_1570,Valve Operator,Cam-Lock Handle
Eco_LOV_1570,Valve Operator,Hand Wheel
Eco_LOV_1570,Valve Operator,Wing Handle
Eco_LOV_1570,Valve Operator,Locking Handle
Eco_LOV_1570,Valve Operator,Key
Eco_LOV_1570,Valve Operator,Knob
Eco_LOV_1570,Valve Operator,Square Handle
Eco_LOV_1570,Valve Operator,2 in operating nut
Eco_LOV_1570,Valve Operator,Teardrop Handle
Eco_LOV_1570,Valve Operator,Pull Handle
Eco_LOV_1570,Valve Operator,Oval Lock
Eco_LOV_1570,Valve Operator,Lever Handle
Eco_LOV_1570,Valve Operator,Custom Handle
Eco_LOV_1570,Valve Operator,Latch Lever Handle
Eco_LOV_1570,Valve Operator,Multi Turn Handwheel
Eco_LOV_1570,Valve Operator,Loose Key Wheel Handle
Eco_LOV_1570,Valve Operator,Cylinder Lock
Eco_LOV_1570,Valve Operator,Cross Handwheel Handle
Eco_LOV_1570,Valve Operator,Plasgear<TRADEM/>
Eco_LOV_1570,Valve Operator,Electric Actuator
Eco_LOV_1570,Valve Operator,Oval Lock Handle
Eco_LOV_1570,Valve Operator,Operating Nut
Eco_LOV_1570,Valve Operator,Wrench with Locking Device
Eco_LOV_1570,Valve Operator,Piston Actuated
Eco_LOV_1570,Valve Operator,Locking Round Handle
Eco_LOV_1570,Valve Operator,Hi-Rise Round Handle
Eco_LOV_1570,Valve Operator,Locking Oval
Eco_LOV_1570,Valve Operator,Screw and Nut
Eco_LOV_1570,Valve Operator,Tee Handle
Eco_LOV_1570,Valve Operator,Oval Knurled Handle
Eco_LOV_1570,Valve Operator,Wedge Handle
Eco_LOV_1570,Valve Operator,Gear Operator with Memory Stop
Eco_LOV_1570,Valve Operator,Digital Handwheel
Eco_LOV_1570,Valve Operator,Tee Key Handle
Eco_LOV_1570,Valve Operator,Horizontal Chain Lever
Eco_LOV_1570,Valve Operator,Hi-rise Locking Wheel Handle
Eco_LOV_1570,Valve Operator,Cross Handwheel
Eco_LOV_1570,Valve Operator,Loose Key Handle
Eco_LOV_1570,Valve Operator,Gear Operator Handle
Eco_LOV_1570,Valve Operator,Quarter Turn Lever Handle
Eco_LOV_1570,Valve Operator,NIB-SEAL<REG/> Handle
Eco_LOV_1570,Valve Operator,Digital
Eco_LOV_1570,Valve Operator,NIB-SEAL® Locking Extended Insulated Handle
Eco_LOV_1570,Valve Operator,Round Handle
Eco_LOV_1065,Valve Material,Stainless Steel
Eco_LOV_1065,Valve Material,Aluminum
Eco_LOV_1065,Valve Material,Chrome
Eco_LOV_1065,Valve Material,Carbon Steel
Eco_LOV_1065,Valve Material,Composite
Eco_LOV_1065,Valve Material,Bronze
Eco_LOV_1065,Valve Material,Cast Aluminum
Eco_LOV_1065,Valve Material,Plastic
Eco_LOV_1065,Valve Material,Rubber
Eco_LOV_1065,Valve Material,Brass
Eco_LOV_1065,Valve Material,Cast Bronze
Eco_LOV_1065,Valve Material,Metal
Eco_LOV_1065,Valve Material,Steel
Eco_LOV_1065,Valve Material,Ductile Iron
Eco_LOV_1065,Valve Material,Cast Iron
Eco_LOV_37,Valve Disc Material,PTFE (15% Glass Filled)
Eco_LOV_37,Valve Disc Material,Silicone
Eco_LOV_37,Valve Disc Material,Chrome Plated Brass
Eco_LOV_37,Valve Disc Material,Viton
Eco_LOV_37,Valve Disc Material,Cast Bronze
Eco_LOV_37,Valve Disc Material,Wedge
Eco_LOV_37,Valve Disc Material,Manganese Bronze
Eco_LOV_37,Valve Disc Material,Chloramine-resistant EPDM
Eco_LOV_37,Valve Disc Material,Copper
Eco_LOV_37,Valve Disc Material,410 Stainless Steel
Eco_LOV_37,Valve Disc Material,CoCr Alloy
Eco_LOV_37,Valve Disc Material,Viton<REG/>
Eco_LOV_37,Valve Disc Material,Nylon
Eco_LOV_37,Valve Disc Material,UPVC
Eco_LOV_37,Valve Disc Material,Cast Grey Iron
Eco_LOV_37,Valve Disc Material,Carbon Steel
Eco_LOV_37,Valve Disc Material,Cast Carbon Steel
Eco_LOV_37,Valve Disc Material,Polyphenylene Sulfide
Eco_LOV_37,Valve Disc Material,Iron
Eco_LOV_37,Valve Disc Material,Stellite 6
Eco_LOV_37,Valve Disc Material,Cast Brass Alloy
Eco_LOV_37,Valve Disc Material,Ceramic
Eco_LOV_37,Valve Disc Material,Malleable Iron
Eco_LOV_37,Valve Disc Material,Forged Solid
Eco_LOV_37,Valve Disc Material,Alloy Steel
Eco_LOV_37,Valve Disc Material,Brass
Eco_LOV_37,Valve Disc Material,Nickel Iron
Eco_LOV_37,Valve Disc Material,Cast Stainless Steel
Eco_LOV_37,Valve Disc Material,Nickel Aluminum Bronze
Eco_LOV_37,Valve Disc Material,Stainless Steel
Eco_LOV_37,Valve Disc Material,Cast Brass
Eco_LOV_37,Valve Disc Material,Hardened Steel
Eco_LOV_37,Valve Disc Material,Ceramic Disc
Eco_LOV_37,Valve Disc Material,Rubber
Eco_LOV_37,Valve Disc Material,Polyamide
Eco_LOV_37,Valve Disc Material,Cast Steel
Eco_LOV_37,Valve Disc Material,Brass Alloy B16
Eco_LOV_37,Valve Disc Material,Alloy
Eco_LOV_37,Valve Disc Material,Phenolic
Eco_LOV_37,Valve Disc Material,Copper Silicon Alloy
Eco_LOV_37,Valve Disc Material,Polyethylene
Eco_LOV_37,Valve Disc Material,Magnesium Bronze
Eco_LOV_37,Valve Disc Material,Silicone Bronze
Eco_LOV_37,Valve Disc Material,Monel<REG/>400
Eco_LOV_37,Valve Disc Material,Santoprene
Eco_LOV_37,Valve Disc Material,Forged Brass
Eco_LOV_37,Valve Disc Material,RTFE
Eco_LOV_37,Valve Disc Material,Chromium Steel
Eco_LOV_37,Valve Disc Material,Rubber Encapsulated
Eco_LOV_37,Valve Disc Material,Polypropylene
Eco_LOV_37,Valve Disc Material,Noryl
Eco_LOV_37,Valve Disc Material,Buna
Eco_LOV_37,Valve Disc Material,Alloy 20
Eco_LOV_37,Valve Disc Material,Reinforced PTFE
Eco_LOV_37,Valve Disc Material,Steel
Eco_LOV_37,Valve Disc Material,RPTFE
Eco_LOV_37,Valve Disc Material,Copper Nickel Alloy
Eco_LOV_37,Valve Disc Material,CPVC
Eco_LOV_37,Valve Disc Material,Non Metallic
Eco_LOV_37,Valve Disc Material,Aluminum
Eco_LOV_37,Valve Disc Material,EPDM
Eco_LOV_37,Valve Disc Material,PTFE
Eco_LOV_37,Valve Disc Material,Nitrile
Eco_LOV_37,Valve Disc Material,Elastomer
Eco_LOV_37,Valve Disc Material,Aluminum Bronze
Eco_LOV_37,Valve Disc Material,Cast Iron
Eco_LOV_37,Valve Disc Material,Bronze
Eco_LOV_37,Valve Disc Material,Nickel Plated Ductile Iron
Eco_LOV_37,Valve Disc Material,Teflon<TRADEM/>
Eco_LOV_37,Valve Disc Material,Metal
Eco_LOV_37,Valve Disc Material,Nickel
Eco_LOV_37,Valve Disc Material,Stainless Steel
Eco_LOV_37,Valve Disc Material,PVC
Eco_LOV_37,Valve Disc Material,Monel
Eco_LOV_37,Valve Disc Material,Neoprene
Eco_LOV_37,Valve Disc Material,Cast iron
Eco_LOV_37,Valve Disc Material,Chrome Plated
Eco_LOV_37,Valve Disc Material,Copper Alloy
Eco_LOV_37,Valve Disc Material,Solid
Eco_LOV_37,Valve Disc Material,Reinforced EPDM
Eco_LOV_37,Valve Disc Material,316 Stainless Steel
Eco_LOV_37,Valve Disc Material,HF
Eco_LOV_37,Valve Disc Material,Chloramine-resistant Silicone
Eco_LOV_37,Valve Disc Material,420 Stainless Steel
Eco_LOV_37,Valve Disc Material,POM
Eco_LOV_37,Valve Disc Material,Ductile Iron
Eco_LOV_37,Valve Disc Material,Nickle Plated DI
Eco_LOV_37,Valve Disc Material,CF8M
Eco_LOV_37,Valve Disc Material,Stellite
Eco_LOV_37,Valve Disc Material,Buna-N
Eco_LOV_37,Valve Disc Material,PTFE (25% Glass Filled)
Eco_LOV_37,Valve Disc Material,Stainless steel
Eco_LOV_37,Valve Disc Material,DZR Metal
Eco_LOV_37,Valve Disc Material,13% CR Overlay
Eco_LOV_37,Valve Disc Material,Teflon
Eco_LOV_37,Valve Disc Material,CR 13
Eco_LOV_37,Valve Disc Material,NBR
Eco_LOV_37,Valve Disc Material,TFE
Eco_LOV_37,Valve Disc Material,304 Stainless Steel
Eco_LOV_37,Valve Disc Material,Hycar Composition
Eco_LOV_37,Valve Disc Material,Plastic
Eco_LOV_37,Valve Disc Material,Forged Steel
Eco_LOV_37,Valve Disc Material,FKM
Eco_LOV_72,Valve Bonnet Type,Capped
Eco_LOV_72,Valve Bonnet Type,U-Bolt
Eco_LOV_72,Valve Bonnet Type,Union
Eco_LOV_72,Valve Bonnet Type,Hub
Eco_LOV_72,Valve Bonnet Type,Sealed
Eco_LOV_72,Valve Bonnet Type,Screw-in
Eco_LOV_72,Valve Bonnet Type,Screw-over
Eco_LOV_72,Valve Bonnet Type,Bonded
Eco_LOV_72,Valve Bonnet Type,Bolted
Eco_LOV_72,Valve Bonnet Type,Welded
Eco_LOV_72,Valve Bonnet Type,Integral
Eco_LOV_72,Valve Bonnet Type,Unwelded
Eco_LOV_72,Valve Bonnet Type,Threaded
Eco_LOV_1565,Valve Body Style,5-way
Eco_LOV_1565,Valve Body Style,C Pattern
Eco_LOV_1565,Valve Body Style,Poppet
Eco_LOV_1565,Valve Body Style,2 piece
Eco_LOV_1565,Valve Body Style,Resilient Seated
Eco_LOV_1565,Valve Body Style,Straight
Eco_LOV_1565,Valve Body Style,Unibody
Eco_LOV_1565,Valve Body Style,8 piece
Eco_LOV_1565,Valve Body Style,1-way
Eco_LOV_1565,Valve Body Style,4-way
Eco_LOV_1565,Valve Body Style,Angle
Eco_LOV_1565,Valve Body Style,Inline
Eco_LOV_1565,Valve Body Style,Bolted
Eco_LOV_1565,Valve Body Style,3-way
Eco_LOV_1565,Valve Body Style,Wafer
Eco_LOV_1565,Valve Body Style,Self-closing
Eco_LOV_1565,Valve Body Style,N Pattern
Eco_LOV_1565,Valve Body Style,Bypass
Eco_LOV_1565,Valve Body Style,Check
Eco_LOV_1565,Valve Body Style,Z Pattern
Eco_LOV_1565,Valve Body Style,Spring
Eco_LOV_1565,Valve Body Style,Swing Flex
Eco_LOV_1565,Valve Body Style,H Pattern
Eco_LOV_1565,Valve Body Style,Swing
Eco_LOV_1565,Valve Body Style,Single Union
Eco_LOV_1565,Valve Body Style,T Pattern
Eco_LOV_1565,Valve Body Style,3 piece
Eco_LOV_1565,Valve Body Style,1 piece
Eco_LOV_1565,Valve Body Style,Barstock
Eco_LOV_1565,Valve Body Style,Pet Cock
Eco_LOV_1565,Valve Body Style,5 piece
Eco_LOV_1565,Valve Body Style,Buttweld
Eco_LOV_1565,Valve Body Style,Spring Loaded Lift
Eco_LOV_1565,Valve Body Style,Round
Eco_LOV_1565,Valve Body Style,Sweat
Eco_LOV_1565,Valve Body Style,Integral Stops
Eco_LOV_1565,Valve Body Style,4 piece
Eco_LOV_1565,Valve Body Style,Globe
Eco_LOV_1565,Valve Body Style,Shank
Eco_LOV_1565,Valve Body Style,V Pattern
Eco_LOV_1565,Valve Body Style,Grooved
Eco_LOV_1565,Valve Body Style,Standard
Eco_LOV_1565,Valve Body Style,Less Stops
Eco_LOV_1565,Valve Body Style,Forged
Eco_LOV_1565,Valve Body Style,Top entry
Eco_LOV_1565,Valve Body Style,Basket
Eco_LOV_1565,Valve Body Style,2-way
Eco_LOV_1565,Valve Body Style,7 piece
Eco_LOV_1565,Valve Body Style,Swing Wafer
Eco_LOV_1565,Valve Body Style,Standpipe
Eco_LOV_1565,Valve Body Style,Swing Check
Eco_LOV_1565,Valve Body Style,Lift
Eco_LOV_1565,Valve Body Style,Spring Swing
Eco_LOV_1565,Valve Body Style,Y Pattern
Eco_LOV_1565,Valve Body Style,Inside Screw Stem
Eco_LOV_1565,Valve Body Style,Ball-check
Eco_LOV_1565,Valve Body Style,Tee
Eco_LOV_1565,Valve Body Style,Open Left
Eco_LOV_1565,Valve Body Style,Sleeved
Eco_LOV_1565,Valve Body Style,Casting
Eco_LOV_1565,Valve Body Style,Flanged
Eco_LOV_1565,Valve Body Style,Dual
Eco_LOV_1565,Valve Body Style,Horizontal
Eco_LOV_1565,Valve Body Style,Spring Check
